iter	Passed	Remaining
851	79213	13760
852	79290	13664
853	79368	13568
854	79459	13475
855	79538	13380
856	79622	13285
857	79701	13190
858	79784	13096
859	79865	13001
860	79947	12906
861	80020	12810
862	80091	12714
863	80167	12618
864	80249	12524
865	80329	12429
866	80401	12333
867	80471	12237
868	80550	12142
869	80623	12047
870	80686	11950
871	80758	11854
872	80834	11759
873	80922	11666
874	80992	11570
875	81068	11475
876	81146	11380
877	81214	11284
878	81289	11190
879	81359	11094
880	81429	10999
881	81496	10903
882	81554	10806
883	81619	10710
884	81688	10614
885	81757	10519
886	81829	10424
887	81910	10331
888	81986	10236
889	82057	10141
890	82127	10047
891	82191	9951
892	82249	9855
893	82332	9762
894	82418	9669
895	82485	9574
896	82553	9479
897	82630	9385
898	82699	9291
899	82764	9196
900	82835	9101
901	82901	9007
902	82966	8912
903	83035	8817
904	83111	8724
905	83191	8631
906	83286	8539
907	83366	8446
908	83434	8352
909	83502	8258
910	83579	8165
911	83654	8071
912	83721	7977
913	83790	7884
914	83862	7790
915	83932	7696
916	84012	7604
917	84080	7510
918	84161	7417
919	84234	7324
920	84301	7231
921	84380	7138
922	84450	7045
923	84517	6951
924	84599	6859
925	84667	6766
926	84735	6672
927	84816	6580
928	84908	6489
929	85096	6405
930	85301	6322
931	85412	6231
932	85504	6140
933	85585	6047
934	85744	5960
935	85890	5872
936	85976	5780
937	86049	5687
938	86109	5593
939	86184	5501
940	86268	5408
941	86341	5316
942	86414	5223
943	86495	5131
944	86583	5039
945	86674	4947
946	86794	4857
947	86859	4764
948	86932	4671
949	87005	4579
950	87095	4487
951	87192	4396
952	87297	4305
953	87378	4213
954	87444	4120
955	87608	4032
956	87791	3944
957	88029	3859
958	88202	3770
959	88312	3679
960	88460	3589
961	88594	3499
962	88714	3408
963	88865	3318
964	89027	3228
965	89251	3141
966	89495	3054
967	89677	2964
968	89811	2873
969	89975	2782
970	90194	2693
971	90411	2604
972	90573	2513
973	90719	2421
974	90849	2329
975	90969	2236
976	91079	2144
977	91186	2051
978	91301	1958
979	91430	1865
980	91542	1773
981	91710	1681
982	91806	1587
983	91872	1493
984	91943	1400
985	92012	1306
986	92079	1212
987	92161	1119
988	92224	1025
989	92284	932
990	92360	838
991	92448	745
992	92558	652
993	92656	559
994	92732	465
995	92793	372
996	92863	279
997	92980	186
998	93204	93
999	93377	0
